sample_index,variant_index,pitch,setting,sampler,n_steps,guidance_scale,target_harmonic,off_target_harmonic,target_ratio,margin_ratio,sample_std,sample_absmax,finite,artifact_penalty,total_score,selected
25,0,73,heun_64_gs6,heun,64,6.0,0.903020222186953,0.8803154917256037,2.5970880162028136,0.02579158315040822,0.7322559952735901,10.09962272644043,True,0.0,6.531407415232647,False
25,1,73,heun_64_gs6,heun,64,6.0,1.2883256540940045,1.2111963250725477,3.465857247684212,0.06368028600155638,0.7522899508476257,8.664806365966797,True,0.0,8.760163548212864,False
25,2,73,heun_64_gs6,heun,64,6.0,1.258957818871242,1.1461948961397586,3.682998807345252,0.09838023369974216,0.6884377598762512,8.84950065612793,True,0.0,9.355067368912742,False
26,0,74,heun_64_gs6,heun,64,6.0,1.1639412629785009,1.1871764891143697,3.3122866211989557,-0.01957183801498954,0.7603467106819153,9.962870597839355,True,0.0,8.251358795974905,False
26,1,74,heun_64_gs6,heun,64,6.0,1.241739275983622,1.2257646495943721,3.4501843792397238,0.013032376373566076,0.8182690739631653,11.321695327758789,True,0.0,8.645009512659659,False
26,2,74,heun_64_gs6,heun,64,6.0,1.345182029724835,1.358181825801627,3.6516605563026405,-0.009571469544149277,0.8109089732170105,11.652650833129883,True,0.0,9.114794186440376,False
27,0,75,heun_64_gs6,heun,64,6.0,1.6685832724885648,1.5554853664085804,3.1757603549290594,0.07270907704777861,0.9285436272621155,9.759432792663574,True,0.0,8.048464502894316,False
27,1,75,heun_64_gs6,heun,64,6.0,2.151174303345105,1.6622327882839563,3.7400759185533246,0.29414743564554785,0.9583251476287842,8.993239402770996,True,0.0,9.791410949851633,False
27,2,75,heun_64_gs6,heun,64,6.0,1.6086389896933002,1.4074260331731687,3.5580316663061122,0.14296520765416473,0.812367856502533,9.283943176269531,True,0.0,9.109526977246528,False
28,0,76,heun_64_gs6,heun,64,6.0,1.1133126008273824,1.1099884495281842,3.224728799425479,0.0029947620361847186,0.6012044548988342,8.031246185302734,True,0.0,8.066314141617974,False
28,1,76,heun_64_gs6,heun,64,6.0,1.093103078350068,1.0901171888475363,2.6295388992937427,0.0027390536592655423,0.5966989994049072,6.756160259246826,True,0.0,6.577955828723255,False
28,2,76,heun_64_gs6,heun,64,6.0,1.2132107747420977,1.1919251659514585,3.2880037873907244,0.017858175345317227,0.6493971347808838,7.031764030456543,True,0.0,8.246796731494786,False
29,0,77,heun_64_gs6,heun,64,6.0,1.5317247849028641,1.4960081209454326,3.2434721689206247,0.02387464561095647,0.8355532288551331,10.879772186279297,True,0.0,8.144492390717996,False
29,1,77,heun_64_gs6,heun,64,6.0,0.7335659649550543,1.809266068185983,1.4003066596252582,-0.5945505286372547,0.8323928117752075,10.219892501831055,True,0.0,2.608940856107264,False
29,2,77,heun_64_gs6,heun,64,6.0,0.8195553431082481,1.7094687951913454,1.780100037049765,-0.5205789362055583,0.8570728898048401,11.057717323303223,True,0.0,3.6693816883160753,False
30,0,78,heun_64_gs6,heun,64,6.0,1.9025227150103259,1.6393769909829257,3.9880609266648843,0.16051568606222075,0.9778965711593628,12.122302055358887,True,0.0,10.210925845755543,False
30,1,78,heun_64_gs6,heun,64,6.0,1.593276473979866,1.4226389449446688,4.212296498190128,0.11994436708070728,0.8672181963920593,10.493213653564453,True,0.0,10.71065779609638,False
30,2,78,heun_64_gs6,heun,64,6.0,1.8415853882326882,1.4570718264038864,4.495534404374808,0.2638947183124459,0.9184018969535828,11.340963363647461,True,0.0,11.634678088405689,False
31,0,79,heun_64_gs6,heun,64,6.0,1.3259374917411992,1.3245216980772188,2.9430532935305873,0.0010689093695835,0.7156476974487305,8.520489692687988,True,0.0,7.359236597880844,False
31,1,79,heun_64_gs6,heun,64,6.0,1.1289821650618177,1.1972002552022158,3.2450197608335714,-0.0569813523461554,0.6581634283065796,7.189650535583496,True,0.0,8.027077373564696,False
31,2,79,heun_64_gs6,heun,64,6.0,1.3399664388433468,1.3239664915947873,3.951659113919604,0.012084858060446914,0.684965968132019,8.019508361816406,True,0.0,9.89727507188968,False
32,0,80,heun_64_gs6,heun,64,6.0,1.3021494600326309,1.1526931432244634,3.018521923989927,0.1296583712587247,0.6871250867843628,9.465594291687012,True,0.0,7.740792366862904,False
32,1,80,heun_64_gs6,heun,64,6.0,0.7320347349349953,0.7860710918367392,2.425925155451931,-0.06874232722139534,0.5165501832962036,8.09520435333252,True,0.0,5.9616993977977355,False
32,2,80,heun_64_gs6,heun,64,6.0,1.0311540645959205,0.9793197344936301,3.480097219453719,0.05292891355835171,0.6354716420173645,10.147870063781738,True,0.0,8.779636418971824,False
33,0,81,heun_64_gs6,heun,64,6.0,1.5379639896130497,1.3244139492449694,3.5104065256406685,0.1612411579305781,0.7240266799926758,8.50253677368164,True,0.0,9.017878050997538,False
33,1,81,heun_64_gs6,heun,64,6.0,1.3980149396782993,1.2283282120744423,3.6733895517779795,0.13814445077007534,0.618999183177948,7.552628517150879,True,0.0,9.390690555600061,False
33,2,81,heun_64_gs6,heun,64,6.0,1.2869353756955382,1.0989118381319967,4.605679798005555,0.17109974551931206,0.6353111267089844,9.196274757385254,True,0.0,11.770849113292856,False
34,0,82,heun_64_gs6,heun,64,6.0,1.802621053306856,1.4033179080719866,4.493861817109377,0.2845421839859856,0.8301687240600586,9.474115371704102,True,0.0,11.66146781875242,False
34,1,82,heun_64_gs6,heun,64,6.0,1.6280222909780677,1.211304182904911,4.2511714500674405,0.34402432561039586,0.7046221494674683,8.033856391906738,True,0.0,11.143965113584194,False
34,2,82,heun_64_gs6,heun,64,6.0,1.810200902565757,1.413992014916029,4.163579984358586,0.2802058856543107,0.8325830698013306,10.271371841430664,True,0.0,10.829258789377931,False
35,0,83,heun_64_gs6,heun,64,6.0,0.4504222989089669,0.536562748820424,1.1483416234013044,-0.1605412386443436,0.7072921395301819,8.893354415893555,True,0.0,2.6300422005367454,False
35,1,83,heun_64_gs6,heun,64,6.0,1.5936617974023914,1.2934745319357388,3.740124767097922,0.2320782170303946,0.7854251861572266,10.063313484191895,True,0.0,9.698429243290397,False
35,2,83,heun_64_gs6,heun,64,6.0,1.1065475433726446,0.961937144377991,2.562494453031863,0.15033248101136262,0.8058632612228394,9.682530403137207,True,0.0,6.6317348540967025,False
36,0,48,heun_64_gs6,heun,64,6.0,1.008435987690359,1.0271401614390858,1.9832587510639574,-0.018209952515556967,0.7532635927200317,6.695820331573486,True,0.0,4.930831948886558,False
